⍬,Empty Numeric Vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Zilde%20Symbol.htm'>Link to docs<a/>
⍎Dv,Execute: Result of expression Dv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Execute.htm'>Link to docs<a/>
X⍎Dv,Execute Dv within namespace X (name or reference) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Execute.htm'>Link to docs<a/>
⍕Y,Format: Character representation of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Format%20Monadic.htm'>Link to docs<a/>
Iv⍕Y,"Format Y using ({width}, decimals) pairs Iv (negative decimals for scaled notation) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Format%20Dyadic.htm'>Link to docs<a/>"
X f&Y,Spawn: f between X and Y in a new thread <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Spawn.htm'>Link to docs<a/>
f&Y,Spawn: f on Y in a new thread <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Spawn.htm'>Link to docs<a/>
Ns⌶Y,I-beam: Call experimental system-related monadic function Ns <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/I%20Beam.htm'>Link to docs<a/>
name f←Y,Modified Assignment (tradfns/tradops only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Assignment%20Modified.htm'>Link to docs<a/>
name←Y,Assignment <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Assignment.htm'>Link to docs<a/>
∇,Dfn Self <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Recursion.htm'>Link to docs<a/>
→,Abort (cut stack back one frame) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Branch.htm'>Link to docs<a/>
→0,Return: Leave function and return to caller <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Branch.htm'>Link to docs<a/>
